Provinsi,new_apk18,new_melek18,new_tik18,new_terorganisir18,apm-sd-18,apm-smp-18,apm-sma-18,new_selesai_sd18,new_selesai_smp18,new_selesai_sma18
ACEH,43.86,98.03,62.96,98.16,99.64,100.13,107.24,96.75,87.15,70.68
SUMATERA UTARA,31.11,99.07,71.24,96.85,99.26,96.27,109.75,95.76,87.97,68.34
SUMATERA BARAT,44.19,99.07,76.27,96.9,99.65,107.01,121.12,91.44,82.59,65.34
RIAU,34.15,99.2,75.76,93.68,99.96,105.49,112.02,95.39,83.45,63.71
JAMBI,33.78,98.15,74.0,97.37,99.69,96.2,107.52,94.62,83.29,66.06
SUMATERA SELATAN,26.23,98.66,72.36,97.9,99.13,102.65,110.84,94.02,84.18,63.94
BENGKULU,38.31,97.91,69.56,99.43,100.26,106.06,108.71,93.2,86.34,58.86
LAMPUNG,21.32,96.93,73.25,98.36,99.22,103.12,108.9,95.39,85.09,54.89
KEP. BANGKA BELITUNG,13.2,97.76,77.06,98.91,98.77,109.57,113.64,92.04,79.7,55.01
KEP. RIAU,27.64,98.87,86.37,91.5,99.12,97.59,103.0,98.13,90.15,82.86
DKI JAKARTA,36.71,99.72,92.15,93.63,99.09,94.93,103.12,95.26,92.8,83.48
JAWA BARAT,25.14,98.48,82.69,94.56,99.29,102.15,97.4,97.08,85.18,61.04
JAWA TENGAH,21.96,93.45,83.33,99.21,99.96,103.75,98.77,96.15,86.9,55.62
DI YOGYAKARTA,48.42,94.83,95.48,99.67,99.89,103.17,108.65,95.12,92.66,81.96
JAWA TIMUR,29.99,91.85,80.51,96.75,99.78,100.8,100.7,95.7,86.04,62.48
BANTEN,33.4,97.62,81.53,95.93,99.29,107.55,97.6,95.35,85.21,67.54
BALI,36.4,92.98,87.56,97.32,99.12,97.07,101.7,96.4,93.78,78.67
NUSA TENGGARA BARAT,29.75,87.42,66.23,96.96,100.3,97.83,90.2,97.59,87.88,52.6
NUSA TENGGARA TIMUR,30.14,91.9,43.32,93.37,99.48,107.35,116.53,91.44,77.41,43.41
KALIMANTAN BARAT,22.68,92.58,63.05,95.4,99.65,100.18,110.31,91.44,77.41,47.66
KALIMANTAN TENGAH,25.24,99.21,68.48,97.5,99.91,107.08,109.27,93.33,79.87,53.47
KALIMANTAN SELATAN,26.41,98.42,78.81,96.52,98.78,101.2,102.31,92.2,84.05,61.09
KALIMANTAN TIMUR,35.64,98.96,83.52,97.56,100.13,95.41,106.42,95.32,89.14,68.73
KALIMANTAN UTARA,21.58,95.18,80.51,91.5,99.11,97.05,104.2,92.03,82.85,58.22
SULAWESI UTARA,35.0,99.87,74.69,97.56,100.04,108.05,109.74,95.48,86.72,70.02
SULAWESI TENGAH,40.61,97.87,61.45,94.76,98.06,110.28,113.99,91.44,78.61,53.84
SULAWESI SELATAN,41.23,91.81,76.72,97.43,100.25,102.64,108.97,94.05,83.32,56.86
SULAWESI TENGGARA,46.42,94.46,70.66,98.51,100.39,95.9,100.34,95.25,86.05,67.67
GORONTALO,35.23,98.63,74.22,97.24,100.89,113.43,105.23,91.44,77.41,52.39
SULAWESI BARAT,28.9,92.85,57.05,95.65,100.57,104.23,122.18,92.6,78.83,37.65
MALUKU,48.42,99.22,54.29,95.34,99.74,101.86,107.08,94.49,86.38,66.42
MALUKU UTARA,42.68,98.76,49.32,95.12,99.78,101.09,97.75,95.65,85.39,60.07
PAPUA BARAT,35.97,97.37,61.29,91.5,98.22,98.63,91.41,91.44,81.19,60.47
PAPUA,19.03,87.42,43.32,91.5,99.18,94.9,95.39,91.44,77.41,37.65
